subdistrict,city,n,lat,lon,spread_km
Manawy Basha,Basrah,2869,30.52974,47.79812,5.4
Zubair center,Basrah,2199,30.39024,47.7006,5.8
Abu Al-Khaseeb,Basrah,1981,30.45776,47.86127,7.1
Shat Al-Arab,Basrah,1081,30.5726,47.80837,5.6
Amen Dhakhil,Basrah,911,30.49896,47.77503,4.3
Um Qasir,Basrah,809,30.04047,47.91803,5.3
Hartha,Basrah,731,30.71281,47.72109,6.2
Fajer,Thaiqar / Nassriya,691,31.90965,45.89528,8.4
Sob Al-Aysar,Maysan / Emarah,690,31.83968,47.12188,4.6
Sob Al-Ayman,Maysan / Emarah,606,31.82723,47.16635,4.8
Sadeq,Basrah,511,30.9596,47.33741,6.1
Nahawand,Maysan / Emarah,510,31.87519,47.13562,4.0
Qalaat Sukar,Thaiqar / Nassriya,450,31.8507,46.06898,9.1
Sob Al-Kabeer,Al-Muthanna / Samawa,423,31.29164,45.27068,5.6
Rifaie center,Thaiqar / Nassriya,420,31.71832,46.10771,4.4
Khour Al-Zubair,Basrah,419,30.22176,47.77273,7.8
Dwayah,Thaiqar / Nassriya,390,31.49208,46.37709,6.1
Edara Al-Mahalyia,Thaiqar / Nassriya,385,31.063,46.2594,5.5
Mdaynah center,Basrah,366,30.95162,47.26573,3.0
Deer,Basrah,365,30.81887,47.55765,5.6
Az Al-Deen Saleem,Basrah,353,30.97643,47.31208,3.7
Safwan,Basrah,346,30.11797,47.72454,3.9
Qurna center,Basrah,325,31.01284,47.43083,2.5
Kumit,Maysan / Emarah,315,31.8572,46.9627,9.7
Battha,Thaiqar / Nassriya,311,31.11489,45.91914,7.7
Moohi,Basrah,290,30.978,47.45181,3.2
Sweer,Al-Muthanna / Samawa,264,31.30209,45.43052,7.9
Romaithah center,Al-Muthanna / Samawa,253,31.53943,45.19814,5.8
Shatrah center,Thaiqar / Nassriya,245,31.40759,46.16889,5.1
Al-Khadher center,Al-Muthanna / Samawa,243,31.25271,45.53631,6.6
Showella,Thaiqar / Nassriya,221,31.0301,46.25018,3.4
Naser,Thaiqar / Nassriya,191,31.53864,46.11994,3.6
Kahlaa center,Maysan / Emarah,189,31.67119,47.2938,5.5
Warka,Al-Muthanna / Samawa,182,31.45674,45.28949,6.1
Al-Chebaish center,Thaiqar / Nassriya,178,30.96506,46.99115,4.1
Sob Al-Sagheer,Al-Muthanna / Samawa,163,31.34739,45.28609,3.7
Suq Al-Sheoukh center,Thaiqar / Nassriya,156,30.89574,46.45851,4.1
Faw center,Basrah,154,29.96987,48.47332,6.8
Fohood,Thaiqar / Nassriya,149,30.97449,46.7206,3.8
Ali Al-Gharbi center,Maysan / Emarah,135,32.46201,46.6993,5.5
Maymona center,Maysan / Emarah,128,31.68326,46.96941,4.4
Hamar,Thaiqar / Nassriya,119,30.95566,46.85342,1.2
