cell_id,site_id,region,band,sector,latitude,longitude,antenna_height_m,azimuth_deg,mech_tilt_deg,elec_tilt_deg,vbw_deg,hbw_deg,earfcn
R5-001_L1800_S1,R5-001,R5,L1800,1,24.721005,46.669232,42.0,20,0.0,1.0,6.5,65.0,1650
R5-001_L2100_S1,R5-001,R5,L2100,1,24.721005,46.669232,42.0,20,0.0,1.0,6.5,65.0,300
R5-001_L800_S1,R5-001,R5,L800,1,24.721005,46.669232,42.0,20,0.0,1.0,6.5,65.0,6200
R5-001_L1800_S2,R5-001,R5,L1800,2,24.721005,46.669232,30.0,140,2.0,4.0,6.5,65.0,1650
R5-001_L2100_S2,R5-001,R5,L2100,2,24.721005,46.669232,30.0,140,2.0,4.0,6.5,65.0,300
R5-001_L1800_S3,R5-001,R5,L1800,3,24.721005,46.669232,30.0,260,0.0,3.0,6.5,65.0,1650
R5-001_L2100_S3,R5-001,R5,L2100,3,24.721005,46.669232,30.0,260,0.0,5.0,6.5,65.0,300
R5-001_L800_S3,R5-001,R5,L800,3,24.721005,46.669232,30.0,260,0.0,2.0,6.5,65.0,6200
R5-002_L1800_S1,R5-002,R5,L1800,1,24.731624,46.66817,27.0,20,0.0,3.0,6.5,65.0,1650
R5-002_L2100_S1,R5-002,R5,L2100,1,24.731624,46.66817,27.0,20,0.0,5.0,6.5,65.0,300
R5-002_L800_S1,R5-002,R5,L800,1,24.731624,46.66817,27.0,20,0.0,2.0,6.5,65.0,6200
R5-002_L1800_S2,R5-002,R5,L1800,2,24.731624,46.66817,27.0,140,1.0,3.0,6.5,65.0,1650
R5-002_L2100_S2,R5-002,R5,L2100,2,24.731624,46.66817,27.0,140,1.0,3.0,6.5,65.0,300
R5-002_L1800_S3,R5-002,R5,L1800,3,24.731624,46.66817,27.0,260,1.0,4.0,6.5,65.0,1650
R5-002_L2100_S3,R5-002,R5,L2100,3,24.731624,46.66817,27.0,260,1.0,4.0,6.5,65.0,300
R5-002_L800_S3,R5-002,R5,L800,3,24.731624,46.66817,27.0,260,1.0,2.0,6.5,65.0,6200
R5-003_L1800_S1,R5-003,R5,L1800,1,24.739913,46.671725,30.0,20,2.0,3.0,6.5,65.0,1650
R5-003_L2100_S1,R5-003,R5,L2100,1,24.739913,46.671725,30.0,20,2.0,5.0,6.5,65.0,300
R5-003_L800_S1,R5-003,R5,L800,1,24.739913,46.671725,30.0,20,2.0,3.0,6.5,65.0,6200
R5-003_L1800_S2,R5-003,R5,L1800,2,24.739913,46.671725,30.0,140,0.0,2.0,6.5,65.0,1650
R5-003_L2100_S2,R5-003,R5,L2100,2,24.739913,46.671725,30.0,140,0.0,3.0,6.5,65.0,300
R5-003_L1800_S3,R5-003,R5,L1800,3,24.739913,46.671725,30.0,260,1.0,3.0,6.5,65.0,1650
R5-003_L2100_S3,R5-003,R5,L2100,3,24.739913,46.671725,30.0,260,1.0,3.0,6.5,65.0,300
R5-003_L800_S3,R5-003,R5,L800,3,24.739913,46.671725,30.0,260,1.0,1.0,6.5,65.0,6200
R5-004_L1800_S1,R5-004,R5,L1800,1,24.71199,46.684848,30.0,20,0.0,2.0,6.5,65.0,1650
R5-004_L2100_S1,R5-004,R5,L2100,1,24.71199,46.684848,30.0,20,0.0,4.0,6.5,65.0,300
R5-004_L800_S1,R5-004,R5,L800,1,24.71199,46.684848,30.0,20,0.0,2.0,6.5,65.0,6200
R5-004_L1800_S2,R5-004,R5,L1800,2,24.71199,46.684848,30.0,140,2.0,3.0,6.5,65.0,1650
R5-004_L2100_S2,R5-004,R5,L2100,2,24.71199,46.684848,30.0,140,2.0,4.0,6.5,65.0,300
R5-004_L1800_S3,R5-004,R5,L1800,3,24.71199,46.684848,30.0,260,0.0,3.0,6.5,65.0,1650
R5-004_L2100_S3,R5-004,R5,L2100,3,24.71199,46.684848,30.0,260,0.0,5.0,6.5,65.0,300
R5-004_L800_S3,R5-004,R5,L800,3,24.71199,46.684848,30.0,260,0.0,3.0,6.5,65.0,6200
R5-005_L1800_S1,R5-005,R5,L1800,1,24.71967,46.682966,30.0,20,0.0,2.0,6.5,65.0,1650
R5-005_L2100_S1,R5-005,R5,L2100,1,24.71967,46.682966,30.0,20,0.0,4.0,6.5,65.0,300
R5-005_L800_S1,R5-005,R5,L800,1,24.71967,46.682966,30.0,20,0.0,3.0,6.5,65.0,6200
R5-005_L1800_S2,R5-005,R5,L1800,2,24.71967,46.682966,30.0,140,0.0,3.0,6.5,65.0,1650
R5-005_L2100_S2,R5-005,R5,L2100,2,24.71967,46.682966,30.0,140,0.0,3.0,6.5,65.0,300
R5-005_L1800_S3,R5-005,R5,L1800,3,24.71967,46.682966,30.0,260,0.0,3.0,6.5,65.0,1650
R5-005_L2100_S3,R5-005,R5,L2100,3,24.71967,46.682966,30.0,260,0.0,5.0,6.5,65.0,300
R5-005_L800_S3,R5-005,R5,L800,3,24.71967,46.682966,30.0,260,0.0,3.0,6.5,65.0,6200
R5-006_L1800_S1,R5-006,R5,L1800,1,24.727307,46.681904,24.0,20,1.0,3.0,6.5,65.0,1650
R5-006_L2100_S1,R5-006,R5,L2100,1,24.727307,46.681904,24.0,20,1.0,4.0,6.5,65.0,300
R5-006_L800_S1,R5-006,R5,L800,1,24.727307,46.681904,24.0,20,1.0,2.0,6.5,65.0,6200
R5-006_L1800_S2,R5-006,R5,L1800,2,24.727307,46.681904,24.0,140,0.0,4.0,6.5,65.0,1650
R5-006_L2100_S2,R5-006,R5,L2100,2,24.727307,46.681904,24.0,140,0.0,5.0,6.5,65.0,300
R5-006_L1800_S3,R5-006,R5,L1800,3,24.727307,46.681904,24.0,260,2.0,3.0,6.5,65.0,1650
R5-006_L2100_S3,R5-006,R5,L2100,3,24.727307,46.681904,24.0,260,2.0,4.0,6.5,65.0,300
R5-006_L800_S3,R5-006,R5,L800,3,24.727307,46.681904,24.0,260,2.0,1.0,6.5,65.0,6200
R5-007_L1800_S1,R5-007,R5,L1800,1,24.738807,46.680263,27.0,20,0.0,3.0,6.5,65.0,1650
R5-007_L2100_S1,R5-007,R5,L2100,1,24.738807,46.680263,27.0,20,0.0,5.0,6.5,65.0,300
R5-007_L800_S1,R5-007,R5,L800,1,24.738807,46.680263,27.0,20,0.0,1.0,6.5,65.0,6200
R5-007_L1800_S2,R5-007,R5,L1800,2,24.738807,46.680263,27.0,140,1.0,3.0,6.5,65.0,1650
R5-007_L2100_S2,R5-007,R5,L2100,2,24.738807,46.680263,27.0,140,1.0,5.0,6.5,65.0,300
R5-007_L1800_S3,R5-007,R5,L1800,3,24.738807,46.680263,27.0,260,2.0,3.0,6.5,65.0,1650
R5-007_L2100_S3,R5-007,R5,L2100,3,24.738807,46.680263,27.0,260,2.0,5.0,6.5,65.0,300
R5-007_L800_S3,R5-007,R5,L800,3,24.738807,46.680263,27.0,260,2.0,3.0,6.5,65.0,6200
R5-008_L1800_S1,R5-008,R5,L1800,1,24.709045,46.694716,27.0,20,2.0,3.0,6.5,65.0,1650
R5-008_L2100_S1,R5-008,R5,L2100,1,24.709045,46.694716,27.0,20,2.0,4.0,6.5,65.0,300
R5-008_L800_S1,R5-008,R5,L800,1,24.709045,46.694716,27.0,20,2.0,2.0,6.5,65.0,6200
R5-008_L1800_S2,R5-008,R5,L1800,2,24.709045,46.694716,27.0,140,0.0,3.0,6.5,65.0,1650
R5-008_L2100_S2,R5-008,R5,L2100,2,24.709045,46.694716,27.0,140,0.0,4.0,6.5,65.0,300
R5-008_L1800_S3,R5-008,R5,L1800,3,24.709045,46.694716,27.0,260,0.0,4.0,6.5,65.0,1650
R5-008_L2100_S3,R5-008,R5,L2100,3,24.709045,46.694716,27.0,260,0.0,5.0,6.5,65.0,300
R5-008_L800_S3,R5-008,R5,L800,3,24.709045,46.694716,27.0,260,0.0,1.0,6.5,65.0,6200
R5-009_L1800_S1,R5-009,R5,L1800,1,24.722044,46.698586,30.0,20,2.0,3.0,6.5,65.0,1650
R5-009_L2100_S1,R5-009,R5,L2100,1,24.722044,46.698586,30.0,20,2.0,4.0,6.5,65.0,300
R5-009_L800_S1,R5-009,R5,L800,1,24.722044,46.698586,30.0,20,2.0,2.0,6.5,65.0,6200
R5-009_L1800_S2,R5-009,R5,L1800,2,24.722044,46.698586,30.0,140,1.0,3.0,6.5,65.0,1650
R5-009_L2100_S2,R5-009,R5,L2100,2,24.722044,46.698586,30.0,140,1.0,5.0,6.5,65.0,300
R5-009_L1800_S3,R5-009,R5,L1800,3,24.722044,46.698586,30.0,260,2.0,3.0,6.5,65.0,1650
R5-009_L2100_S3,R5-009,R5,L2100,3,24.722044,46.698586,30.0,260,2.0,4.0,6.5,65.0,300
R5-009_L800_S3,R5-009,R5,L800,3,24.722044,46.698586,30.0,260,2.0,1.0,6.5,65.0,6200
R5-010_L1800_S1,R5-010,R5,L1800,1,24.728437,46.694737,24.0,20,0.0,3.0,6.5,65.0,1650
R5-010_L2100_S1,R5-010,R5,L2100,1,24.728437,46.694737,24.0,20,0.0,4.0,6.5,65.0,300
R5-010_L800_S1,R5-010,R5,L800,1,24.728437,46.694737,24.0,20,0.0,2.0,6.5,65.0,6200
R5-010_L1800_S2,R5-010,R5,L1800,2,24.728437,46.694737,24.0,140,1.0,4.0,6.5,65.0,1650
R5-010_L2100_S2,R5-010,R5,L2100,2,24.728437,46.694737,24.0,140,1.0,4.0,6.5,65.0,300
R5-010_L1800_S3,R5-010,R5,L1800,3,24.728437,46.694737,24.0,260,1.0,2.0,6.5,65.0,1650
R5-010_L2100_S3,R5-010,R5,L2100,3,24.728437,46.694737,24.0,260,1.0,4.0,6.5,65.0,300
R5-010_L800_S3,R5-010,R5,L800,3,24.728437,46.694737,24.0,260,1.0,1.0,6.5,65.0,6200
